run_name,open_closed,groomed,difficulty
Powderhorn Glades,True,False,4
Sidewinder,True,False,2
Placer Glades,False,False,5
Lower Diamondback,True,False,2
Lower Ambush,True,False,2
Liftline,True,False,5
City Lights,True,False,2
Ambush,True,False,4
Windmill,True,False,2
Sunset,True,False,2
Summer Road,True,False,1
Psychopath,False,False,3
Upper Around the Horn,True,False,2
Powderhorn,True,False,2
Mary's Way,True,False,3
La Belle Dame,True,False,2
Klondike,True,False,2
Jolly Jug Glades,False,False,4
Jolly Jug,True,False,2
International,True,False,2
Hot Dog Alley,True,False,2
Hornblower,True,False,2
Dream & Scream,True,False,2
Pipeline,True,False,2
Reel It In,True,False,2
Pipeline Uphill Route,True,False,2
Frontside Uphill Route,True,False,2
Early Uphill Route,True,False,2
Backside Uphill Route,True,False,3
Wolf Tongue,True,False,3
West Ridge,True,False,5
Wayback,True,False,2
Salto Glades,True,False,5
Red Tail,True,False,3
Crewcut,True,False,2
Muleshoe,True,False,3
Moose Glades,True,False,5
Lower Around the Horn,True,False,2
Gully Glades,True,False,4
Corona Road,True,False,2
Corona,True,False,3
Cascade,True,False,3
Brian's Glades,True,False,4
Alpenhorn,True,False,3
Upper Diamondback,True,False,3
Ja Sure,False,False,2
Twin Twisted Tree,False,False,2
Stadium,False,False,1
Snowcat,False,False,1
Sawmill,False,False,3
Roller Coaster,False,False,2
Porcupine Park Loop,False,False,3
Phoebe Snow Loop,False,False,1
Peterson's Return,False,False,2
Mill Iron,False,False,2
Meadows Loop,False,False,1
Jenny Creek Loop,False,False,1
Woodcutter,False,False,3
Gandy Dancer,False,False,3
For Pete's Sake,False,False,2
Dixie,False,False,1
Deadman's Gulch,False,False,2
Cheaters Corner,False,False,2
Buckeye Basin Loop,False,False,2
Bogwaun,False,False,2
Beaver's Revenge,False,False,2
Antelope Creek,False,False,3
Annie B,False,False,2
Ryder's,True,False,1
Corona Traverse,True,False,2
Challenge,False,False,3
Cannonball Run,False,False,3
Bonanza,True,False,2
4 O'Clock,True,False,2
Upper Bunnyfair,True,False,2
Uncle Bob's,True,False,1
Trick Ditch,True,False,2
Sunkid,True,False,1
Sundance,True,False,2
17th Avenue,False,False,1
Little Hawk,True,False,1
Gabor's,True,False,2
Fun Zone,True,False,1
Fun Gully,True,False,1
Foxtail,True,False,1
Easyway,True,False,1
EZ LIftline,True,False,2
Chute,True,False,2
Bunnyfair,True,False,1
Zarlengo Loop,False,False,2
