resort,name,open,groomed,difficultly
Winter Park,Allan Phipps,True,False,1
Winter Park,Ambush,False,False,4
Winter Park,Balch,True,False,4
Winter Park,Bill Wilsons Way,True,False,1
Winter Park,Bobcat,True,False,1
Winter Park,Bradleys Bash,True,False,3
Winter Park,Brians Run,True,False,4
Winter Park,Butchs Breezeway,True,False,2
Winter Park,Cheshire Cat,True,False,3
Winter Park,Cranmer,True,False,2
Winter Park,Dormouse,True,False,1
Winter Park,Easy Way,True,False,1
Winter Park,Engeldive,True,False,4
Winter Park,High Lonesome Trail,True,False,1
Winter Park,Hobo Alley,True,False,1
Winter Park,Hook Up,True,False,1
Winter Park,Hughes,True,False,3
Winter Park,Jabberwocky,True,False,2
Winter Park,Jack Kendrick,True,False,1
Winter Park,Larry Sale,True,False,2
Winter Park,Little Pierre,True,False,3
Winter Park,Lonesome Whistle Lower,True,False,2
Winter Park,Lonesome Whistle Upper,True,False,1
Winter Park,Lower Hughes,True,False,3
Winter Park,Lower Parkway,True,False,2
Winter Park,Mad Tea Party,True,False,1
Winter Park,March Hare,True,False,2
Winter Park,March Hare Upper,True,False,1
Winter Park,Marmot Flats,True,False,1
Winter Park,Mock Turtle,True,False,1
Winter Park,Mulligans Mile,True,False,4
Winter Park,Norwegian,True,False,4
Winter Park,Outrigger Trail,True,False,4
Winter Park,Over n Underwood,True,False,3
Winter Park,Parkway,True,False,1
Winter Park,Porcupine,True,False,1
Winter Park,Quick Getaway,True,False,2
Winter Park,Rendezvous,True,False,2
Winter Park,Rettas Run,True,False,4
Winter Park,Ski Papa,True,False,1
Winter Park,Sorensen Park,True,False,1
Winter Park,Switchyard,True,False,1
Winter Park,Turnpike,True,False,1
Winter Park,Turnpike - Parkway Bypass,True,False,1
Winter Park,Tweedle Dee,True,False,2
Winter Park,Tweedle Dum,True,False,3
Winter Park,Village Way - Mountain Road,True,False,1
Winter Park,Village Way - Parkway Bypass,True,False,1
Winter Park,Village Way - Switchyard to Mountain Road,True,False,1
Winter Park,Village Way - Tunnel to Parkway,True,False,1
Winter Park,Vista Dome,True,False,1
Winter Park,Vista Dome Cutoff,True,False,3
Winter Park,Whistlestop,True,False,1
Winter Park,White Rabbit,True,False,2
Winter Park,White Rabbit Lower,True,False,1
Winter Park,Arrowhead Loop Lower,True,False,2
Winter Park,Arrowhead Loop Upper,True,False,4
Winter Park,Awe Chute,False,False,5
Winter Park,Baldys Chute,False,False,5
Winter Park,Bellmar Bowl,True,False,2
Winter Park,Better Not,False,False,5
Winter Park,Bluebell,True,False,2
Winter Park,Boiler,True,False,4
Winter Park,Brakeman,True,False,4
Winter Park,Branch Line,True,False,4
Winter Park,Cannonball,True,False,4
Winter Park,Columbine Lower,True,False,4
Winter Park,Columbine Upper,True,False,2
